Hugo_Symbol	Entrez_Gene_Id	GTEX-13NYB-1726-SM-5N9G2	GTEX-QDVN-1626-SM-48TZC	GTEX-ZYT6-2226-SM-5GIC9	GTEX-11TTK-1926-SM-5PNW8	GTEX-ZC5H-1726-SM-5HL7X	GTEX-ZVZP-0926-SM-5GIDB	GTEX-P4QS-1126-SM-3NMD5	GTEX-RN64-1626-SM-48FD7	GTEX-ZYFG-1626-SM-5GZYY	GTEX-N7MS-1626-SM-3LK5F	GTEX-13OW6-1826-SM-5N9F9	GTEX-T5JC-1526-SM-4DM68	GTEX-ZLFU-0926-SM-5P9F8	GTEX-1497J-0826-SM-5NQAJ	GTEX-13112-2126-SM-5GCO4	GTEX-UPIC-1126-SM-4IHLO	GTEX-145MN-0326-SM-5QGQI	GTEX-13O1R-2526-SM-5N9FW	GTEX-11GS4-2326-SM-5A5KS	GTEX-13OVI-1126-SM-5KLZF	GTEX-XPVG-0526-SM-4B65N	GTEX-13OVL-1826-SM-5KLZR	GTEX-QLQW-1626-SM-4R1K1	GTEX-12696-0926-SM-5FQTV	GTEX-1399S-0526-SM-5IJG8	GTEX-147F4-2626-SM-5Q5CS	GTEX-13RTJ-2226-SM-5S2Q1	GTEX-Y5V6-2026-SM-5IFHO	GTEX-NPJ8-2226-SM-3TW8D	GTEX-11OF3-1326-SM-5N9FJ	GTEX-ZYFD-1526-SM-5NQ7T	GTEX-12WSG-0826-SM-5EQ5A
SCARF2	91179	23.59	106.63	170.25	212.78	67.12	334.46	55.89	275.28	143.01	34.75	41.22	92.05	277.2	53.95	186.4	66.65	68.55	81.14	112.77	301.33	126.12	109.66	134.3	327.56	351.14	281.09	299.25	38.67	133.36	67.12	120.1	48.87
DNAH10OS	0	34.51	20.26	26.28	67.12	105.15	48.87	31.67	81.71	103.69	45.21	39.79	37.32	29.48	42.71	73.03	48.87	45.85	16.63	37.85	102.97	78.34	61.25	16.15	89.51	16.15	68.07	28.65	51.35	8.78	11.73	37.32	52.08
AK7	122481	75.64	237.86	400.71	116.78	36.01	269.6	156.59	170.25	559.28	135.24	52.45	40.07	258.57	66.65	299.25	356.05	500.46	23.08	134.3	167.9	133.36	297.17	180.02	264.03	100.13	341.51	159.9	269.6	66.18	100.83	40.93	201.25
ITGA2	3673	97.36	128.79	220.32	392.44	159.9	248	242.88	473.41	490.14	73.03	186.4	103.69	208.38	323.03	244.57	470.14	450.94	2434.5	525.39	620.67	444.72	351.14	507.46	287.01	237.86	733.19	346.29	320.8	95.34	181.28	348.71	248
MSH3	4437	921.88	169.07	189.02	206.94	175.07	191.67	316.37	236.21	279.14	599.49	454.09	420.68	185.11	239.52	195.72	162.14	231.32	190.34	264.03	205.5	229.72	297.17	218.79	209.84	228.13	241.19	185.11	231.32	135.24	454.09	101.54	214.27
CMTM6	54918	543.96	743.43	595.34	1081.39	642.59	813.63	848.22	796.86	1001.93	246.28	642.59	540.19	1073.91	967.76	603.67	713.11	902.89	1008.9	1073.91	1199.98	775.05	775.05	1225.22	988.12	860.08	1183.45	813.63	819.3	511	532.74	872.1	934.76
CTB-60B18.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58	0	0	0	0	0	0	0	2.97	0	0	0	0	0	0	0.96	0	0	0
KLHL1	57626	2.53	0	3.41	0	0	1.36	0	0	2.48	9.2	1.64	0	2.36	5.28	1.91	0	0	0	1.57	1.91	1.36	2.81	0	0	0	2.51	0	3.2	0	1.69	0	0
ADPRHL1	113622	18.84	14.89	67.12	9.27	43.94	10.47	26.86	79.45	43.94	73.03	98.73	19.82	24.11	17.13	131.51	38.95	43.02	26.1	27.05	23.42	147.06	72.01	26.86	36.01	17.13	61.25	13.03	33.78	38.95	40.36	27.05	22.59
MOSPD1	56180	493.56	121.79	297.17	379.04	122.64	149.12	156.59	312	241.19	454.09	299.25	206.94	228.13	193.01	281.09	211.31	285.03	265.87	299.25	241.19	215.77	450.94	181.28	400.71	137.14	267.73	262.2	172.65	177.53	249.73	224.97	214.27
SCMH1	22955	473.41	718.08	575.03	1030.12	1191.69	651.58	713.11	595.34	486.75	361.04	368.65	656.11	400.71	525.39	486.75	500.46	432.53	866.07	392.44	791.35	647.07	529.06	642.59	915.51	583.07	743.43	825	490.14	620.67	373.81	483.38	872.1
PAFAH1B2	5049	785.88	647.07	1104.13	836.53	748.61	808	1059.11	1304.15	921.88	796.86	629.35	571.05	1159.07	1268.46	909.17	854.13	988.12	988.12	1167.14	1331.57	1008.9	1001.93	1233.75	1225.22	954.43	1143.1	1183.45	669.92	1015.93	738.29	733.19	1159.07
GPR108	56927	974.5	2417.67	2835.7	1427.22	2835.7	2163.77	1963.57	2434.5	1674.06	1135.2	1477.58	2119.22	2664.15	1819.35	2520.38	2609.3	1963.57	1674.06	1950	1991	2032.85	2193.99	1477.58	1806.78	1781.89	1832.01	2224.63	2720.15	2609.3	1651	1519.15	2004.85
